title,company,location,how_old,link
Analista Desenvolvedor Python,Shopee,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7ac5e47a52506d01&fccid=0b476c4a7add47fe&vjs=3
RINGA-4945625/5G - DESENVOLVEDOR BACK END PYTHON JUNIOR,Elemento RH,"Home office in São Carlos, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c38adf7a384daf77&fccid=0803299a25b221e3&vjs=3
Analista Desenvolvedor Python São Paulo / SP,Yaman,"São Paulo, SP",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=a01a3d0f3536c3b6&fccid=33653b725b362ef8&vjs=3
Desenvolvedor(a) Full stack Python Vue.js,Visie Padrões Web,"Home office in Barueri, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=593652c0d70746f8&fccid=68edc23d19933c87&vjs=3
Software Engineer - Python/Django,Juntos Somos Mais,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b4cf8eb6ba61af48&fccid=de4d40771cb9097f&vjs=3
Desenvolvedor Python Senior,Ewave do Brasil,,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=5474d08cf1d7f6c2&fccid=3e70db4eb9a109af&vjs=3
Consultant Expert - Manufacturing,McKinsey & Company,"São Paulo, SP",Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=79932ea43bef4af8&fccid=6576e7250aa78c3c&vjs=3
Quantitative Analyst - ACRE,McKinsey & Company,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=a91925b42272fd08&fccid=6576e7250aa78c3c&vjs=3
Analista de Risco de Crédito,Sicredi,"Hybrid remote in Porto Alegre, RS",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=55ec339253cf7f74&fccid=0bedb393cb03c383&vjs=3
Pessoa Desenvolvedora Python Pleno - (100% Remoto),invilliabr,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c336e49f6c33174d&fccid=287017f8abf88756&vjs=3
Analista desenvolver Junior,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=84ec95b641fa1214&fccid=dd616958bd9ddc12&vjs=3
Não encontrou uma vaga pra você? Manda pra gente seu CV aqui =),Celero,"Curitiba, PR",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e38271eeff18fbec&fccid=d19802f25506b939&vjs=3
Analista de Dados - Modelagem de Estatística/Financeiro,Grupo Henry Schein Brasil,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=f9be28fbf0decea1&fccid=0d45dc4fe60ffe27&vjs=3
Desenvolvedor(a) Back-end Python,Visie Padrões Web,"Home office in São Paulo, SP",Postedhá 29 dias,https://br.indeed.com/rc/clk?jk=14dd8fa6bccc14f8&fccid=68edc23d19933c87&vjs=3
ENGENHEIRO DE SOFTWARE FULLSTACK JUNIOR / PYTHON + VUE,ROIT,Home office,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=c3055a8cfe2e7f79&fccid=881947d7f3319cbd&vjs=3
Analista de Concessão de Crédito - Analytics,Sicredi,"Home office in Porto Alegre, RS",Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=d341608c3bdaa8ef&fccid=0bedb393cb03c383&vjs=3
Pessoa Engenheira Especialista de Machine Learning,Lojas Renner,Home office,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=9917e740bbd6c790&fccid=0421650f9c724b35&vjs=3
Desenvolvedor(a) Python,Portobello,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b55481c0c9eebb23&fccid=449e31700e60a8c6&vjs=3
Desenvolvedor Backend - Sênior | Python,Mercafacil,Home office,Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=21ba8333457ab6df&fccid=e1d8d0a26265504b&vjs=3
Desenvolvedor de Software Python,ESSS,"Florianópolis, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=3d8dedcadf63d0d5&fccid=87e30d5fb8d00995&vjs=3
Analista de Dados,Globaltec S/A,"Home office in Aparecida de Goiânia, GO",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=92cfda7696937a12&fccid=ed0355a80a4d2562&vjs=3
Especialista em Dados para Insights de Negócio,Lojas Renner,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=3bac680e5181c148&fccid=0421650f9c724b35&vjs=3
SecOps nível Pleno,UELLO,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=312de6394e104405&fccid=9a56ad0fbe33688b&vjs=3
Product Manager | Onboarding,will bank,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=ab52ee6a900a9c99&fccid=6f87f0f19f9e71be&vjs=3
Cientista de Dados - (1853653),ACP Group,"Salvador, BA",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=7eb70cd34a1f9c6f&fccid=b5512c6e1dbea62d&vjs=3
Analista de sistemas Python,Shibata Supermercados,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=be49e18095e6e4ab&fccid=0fdeeac895c82608&vjs=3
Analista de Cibersegurança - PENTEST,KRYPTUS,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=196cee7067848da1&fccid=55d431a88bf4eb2b&vjs=3
Survey Writer,TOP Agency,,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=f8ba50da56b68117&fccid=95ba0f0f3bc059a8&vjs=3
JEITTO | ANALISTA DE DADOS PLENO (CLT),Jeitto,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=4dcc4dd9e04ca5cb&fccid=62635d4584fa443b&vjs=3
Desenvolvedor Python (Remoto),Share RH,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b6fb017ca5561510&fccid=a348a1a87f84f063&vjs=3
Analista de QA Junior - Altaia,openlabs,Home office,Postedhá 23 dias,https://br.indeed.com/rc/clk?jk=a4ba5a298623b891&fccid=221db006ee5627ae&vjs=3
Cientista de Decisões,Mercê do Bairro,Home office,Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=46bb2d1ce7665316&fccid=aa6da1aa3e4d838f&vjs=3
Analista Operações de Voo III,GOL Linhas Aéreas,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=570db07527efff9e&fccid=268ec8086cc786f5&vjs=3
Estágio em Integração de Sistemas,Kyros Tecnologia,"Uberlândia, MG",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=6017d557f29778f9&fccid=6814b1e205d39b69&vjs=3
Pessoa Desenvolvedora Back-End,STUDIO SOL,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c118a381d1507917&fccid=32cd57f219038228&vjs=3
iClinic | Pessoa Engenheira Fullstack Sênior - Python,iClinic | Grupo Afya,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=037e6c92cc98a259&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados Sr,RHI Magnesita,"Contagem, MG",PostedHoje,https://br.indeed.com/rc/clk?jk=a7b42e7963ebee65&fccid=6b095741534c577b&vjs=3
Desenvolvedor(a) Fullstack Jr,Não encontrada,"Hybrid remote in Rio de Janeiro, RJ",Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=65e45e0634178652&fccid=dd616958bd9ddc12&vjs=3
QA Junior,Datum TI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c1b408bd92f9fb90&fccid=e267f08170cab296&vjs=3
Desenvolvedor(a) Python / Django Sênior,Seg Imob Seguros Imobiliários,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=4109a03417731e85&fccid=d54614f2f5a5b6a2&vjs=3
Tech Art – Rigging & Cinematic,Kokku,"Recife, PE",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=35107b67e28bafe2&fccid=a9b103e2a7eea1ea&vjs=3
